220107085544$07/01/2022 08:55:44$1$Ron97$3.03$30.00$
210325090432$25/03/2021 09:04:32$1$Ron97$3.03$100.00$
220102090717$02/01/2022 09:07:17$3$Diesel$2.15$200.00$
210509203206$09/05/2021 20:32:06$8$Diesel$2.50$130.00$
220112090944$12/01/2022 09:09:44$5$Ron95$2.05$50.00$
220110091038$10/01/2022 09:10:38$4$Ron95$2.05$20.00$
210831091816$31/08/2021 09:18:16$6$Ron95$2.05$40.00$
201103141425$03/11/2020 14:14:25$5$Ron97$3.03$50.00$
220112144137$12/01/2022 14:41:37$1$Diesel$2.15$50.00$
210929172632$29/09/2021 17:26:32$2$Ron97$3.03$50.00$
220112172929$12/01/2022 17:29:29$5$Ron97$3.03$50.00$
220113155318$13/01/2022 15:53:18$6$Diesel$2.15$20.00$
210114164022$14/01/2021 16:40:22$2$Ron97$3.03$70.00$
220114221736$14/01/2022 22:17:36$5$Ron97$3.03$50.00$
